Id;R;Nome;Squadra;Pv;Mv;Fm;Gf;Gs;Rp;Rc;R+;R-;Ass;Amm;Esp;Au
4312;P;Maignan;Milan;15;6,33;5,83;0;13;2;0;0;0;0;1;0;0
5841;P;Svilar;Roma;17;6,47;5,82;0;11;0;0;0;0;0;0;0;0
2814;P;Provedel;Lazio;17;6,24;5,53;0;12;0;0;0;0;0;0;0;0
2170;P;Milinkovic-Savic V.;Napoli;12;6,21;5,96;0;9;2;0;0;0;0;0;0;0
4431;P;Carnesecchi;Atalanta;17;6,24;5,29;0;19;1;0;0;0;0;0;0;0
6966;P;Butez;Como;16;6,09;5,31;0;12;0;0;0;0;0;1;0;0
761;P;Audero;Cremonese;13;6,31;5,31;0;13;0;0;0;0;0;0;0;0
5876;P;Di Gregorio;Juventus;15;6,17;5,27;0;13;0;0;0;0;0;1;0;0
2134;P;Falcone;Lecce;16;6,31;5,09;0;22;1;0;0;0;0;1;0;0
4360;P;Caprile;Cagliari;17;6,44;5;0;24;0;0;0;0;0;1;0;0
133;P;Skorupski;Bologna;9;6,22;5,28;0;8;0;0;0;0;0;1;0;0
2428;P;Sommer;Inter;14;5,89;4,96;0;13;0;0;0;0;0;0;0;0
4957;P;Montipò;Verona;16;6,25;4,88;0;25;1;0;0;0;0;0;0;0
4236;P;Muric;Sassuolo;16;6,19;4,91;0;19;0;0;0;0;0;3;0;0
2861;P;Semper;Pisa;15;6,17;4,77;0;21;0;0;0;0;0;0;0;0
2521;P;De Gea;Fiorentina;17;6,12;4,65;0;28;1;0;0;0;0;0;0;0
188;P;Leali;Genoa;16;6,12;4,59;0;23;0;0;0;0;0;1;1;0
6641;P;Suzuki;Parma;11;6;4,95;0;14;1;0;0;0;0;1;0;0
5320;P;Paleari;Torino;8;6,19;4,94;0;10;0;0;0;0;0;0;0;0
6462;P;Okoye;Udinese;10;5,75;4,65;0;13;1;0;0;0;0;0;1;0
2722;P;Ravaglia F.;Bologna;6;6,42;5,33;0;6;0;0;0;0;0;1;0;0
572;P;Meret;Napoli;4;6,12;5,12;0;4;0;0;0;0;0;0;0;0
6662;P;Corvi;Parma;5;6,1;5,2;0;4;0;0;0;0;0;1;0;0
5135;P;Guaita;Parma;0;0;0;0;0;0;0;0;0;0;0;0;0
7179;P;Israel;Torino;9;5,89;3,83;0;18;0;0;0;0;0;1;0;0
543;P;Padelli;Udinese;1;6,5;5,5;0;1;0;0;0;0;0;0;0;0
